pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
8 UMi b,8 UMi,1,Radial Velocity,2015,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,0.6510000,-0.6460000,6.8329500,0.0230000,-0.0230000,4.5150000,0.0200000,-0.0200000,6.5589600,0.0002370,-0.0002370
81 Cet b,81 Cet,1,Radial Velocity,2008,1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,1.2220000,-1.2220000,5.6430700,0.0230000,-0.0230000,3.2660000,0.2580000,-0.2580000,5.3758800,0.0031065,-0.0031065
91 Aqr b,91 Aqr,1,Radial Velocity,2013,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,0.5132500,-0.5132500,4.2394600,0.0230000,-0.0230000,1.5970000,0.2360000,-0.2360000,3.9531100,0.0088430,-0.0088430
AB Aur b,AB Aur,1,Imaging,2022,,,,,93.900000,49.300000,-49.300000,0,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,1.5260000,-1.4980000,7.0760000,0.0420000,-0.0420000,4.2300000,0.0160000,-0.0160000,7.0785400,0.0010490,-0.0010490
AB Pic b,AB Pic,1,Imaging,2005,,,,,260.000000,,,0,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,0.0735000,-0.0733000,9.1300000,0.0300000,-0.0300000,6.9810000,0.0240000,-0.0240000,8.8378000,0.0013320,-0.0013320
AF Lep b,AF Lep,1,Imaging,2023,8030.00000000,1800.00000000,-1800.00000000,0,8.400000,1.100000,-1.300000,0,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000,6.3320000,0.0350000,-0.0350000,4.9260000,0.0210000,-0.0210000,6.1864400,0.0011395,-0.0011395
AU Mic b,AU Mic,1,Transit,2020,8.46299910,,,0,0.064500,0.001300,-0.001300,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
AU Mic c,AU Mic,1,Transit,2021,18.85899100,,,0,0.110100,0.002000,-0.002000,0,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
AU Mic d,AU Mic,1,Transit Timing Variations,2023,12.73596000,0.00793000,-0.00793000,0,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000,7.8403800,0.0007310,-0.0007310
BD+03 2562 b,BD+03 2562,1,Radial Velocity,2017,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,63.8750000,-63.8750000,9.5770000,0.0080000,-0.0080000,6.0210000,0.0210000,-0.0210000,8.9977000,0.0002920,-0.0002920
