designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 2212539762449876992",2212539762449876992,340.869437166926,65.88289191403958,1.631774010685162,18.697963286106482,-8.032086852366906,0.96091276,9.020814,1.8096714,-30.310745,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 2291731091005538048",2291731091005538048,294.5343241337469,79.2060953063455,4.537339404724412,8.84180332860495,-16.543151906202826,0.9754473,9.020848,0.4311285,-11.551125,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7062.8223,3.9797,-0.5161,216.0541,0.0153,0.0137,0.0074
"Gaia DR3 1059877914382447488",1059877914382447488,158.70316141721852,66.72752106578446,7.220186150541329,21.9751697290488,-60.71377351379512,0.88742733,9.0208645,1.0645514,-24.731476,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 3423458473899265152",3423458473899265152,91.87406302395972,21.63629560392158,2.3681670904335244,-3.3912615981340815,-8.286878430519536,3.0561576,9.02087,1.1044111,-17.83935,"NOT_AVAILABLE",1,true,true,false,false,false,false,true,4883.6714,2.6381,-0.4968,360.6081,0.006,0.0047,0.0025
"Gaia DR3 2225754311669055488",2225754311669055488,342.5451152764539,69.91954733764702,6.880430936181419,-17.510613078443214,-18.515630351061958,0.8623516,9.020882,0.54205513,16.133995,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6718.1694,4.0973,-0.8244,145.041,0.0105,0.0092,0.005
"Gaia DR3 549630641361133696",549630641361133696,65.10316414053297,73.91794265325213,4.431133726819958,11.334820747123045,-14.549456825361835,36.912632,9.020886,0.2842598,-17.866596,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7645.5005,3.6456,-1.3902,378.15,0.0047,0.0043,0.0023
"Gaia DR3 238476585942627968",238476585942627968,53.25551576942113,43.601747207125136,2.9031905656871233,2.723072682496611,-11.014034683358272,0.96626425,9.02089,0.39340973,-9.356564,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9327.422,4.0185,0.3478,333.5646,0.7713,0.7192,0.3838
"Gaia DR3 842311192044163328",842311192044163328,167.12446737063632,52.626989881327304,9.976010400247509,-223.46670777800128,-40.50511609497093,0.97676396,9.020891,0.7407522,-1.6396185,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,5888.769,4.2505,-0.4361,99.9637,8.0E-4,7.0E-4,4.0E-4
"Gaia DR3 1199599694514143232",1199599694514143232,239.84450406695748,17.608613599931324,4.50460135539813,-0.8445328685471661,5.80010865463972,1.4596574,9.020899,0.60346985,-30.327583,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6371.7656,3.8634,-0.3886,222.0284,0.0065,0.0056,0.003
"Gaia DR3 978809788196318976",978809788196318976,103.51808334655756,48.57827520532392,4.615722181371312,-4.000723206766436,-30.35059285178386,1.1592454,9.020903,0.5556326,,"NOT_AVAILABLE",2,true,true,false,false,false,true,true,6559.517,3.9118,-0.1831,209.1626,0.0028,0.0024,0.0013
"Gaia DR3 4023770592640862848",4023770592640862848,170.68542031652777,31.410792937804004,2.7423208490127933,14.98456231695495,-8.643705137623702,4.328457,9.020916,0.44345284,-17.627354,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6972.8984,3.4269,-1.3003,405.3112,0.0078,0.007,0.0038
"Gaia DR3 1844129867366231680",1844129867366231680,312.78862884951076,26.576811721953103,8.030552875854335,4.330602395702028,14.634492813725544,0.91768295,9.020916,0.73828316,-21.38637,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5908.37,4.1407,-0.3102,124.0256,5.0E-4,5.0E-4,2.0E-4
"Gaia DR3 346924437147051264",346924437147051264,25.920064548427316,39.72432075394124,0.8376204428093577,6.429335044025714,-0.009617478552580327,1.237229,9.020929,1.7100983,47.65531,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 4607620028725440128",4607620028725440128,267.3613228716687,34.60689995526086,2.8939277333645137,-2.0943646731728474,-3.9200796371696276,0.9736514,9.020933,-0.011305809,-22.152895,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,10354.84,4.1517,-0.853,357.6192,0.0809,0.0782,0.0416
"Gaia DR3 968537562157201408",968537562157201408,95.13625857222694,47.1202708278098,2.0044538162147987,-1.6792152991471059,-13.710718097108614,2.0149796,9.020935,0.19433308,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9278.348,3.6915,-0.0723,574.0724,0.3699,0.3507,0.1869
"Gaia DR3 4003253843105849856",4003253843105849856,183.10398590449623,25.57446946649274,2.017789129007889,-17.60371218291993,4.2171177708509955,1.3337305,9.020943,1.2177391,-23.420168,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,4640.9043,2.2042,-0.209,512.349,0.0015,0.0012,6.0E-4
"Gaia DR3 650734210166391936",650734210166391936,123.31539322271098,14.094995666222989,1.2573754031462507,3.3594685439524516,-15.074611497702977,1.0463368,9.020945,1.4999876,3.0722678,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
